Code,Name,HSN,GST Id,gst in per,Purchase Price,Price Margin,Retail Price,Category Code
11,patiyala with dupata,0,13,0.05,360.72,194.7888,555.4588,301
12,Plazzo Rayan,0,13,0.05,251.41,135.7614,387.1214,301
13,kerala cotton handprinted wth blse,0,13,0.05,805.49,434.9646,1240.4046,11
14,NETRA SAREE,0,13,0.05,807.68,436.1472,1243.7772,11
15,ASSAM COTTON SAREE,0,13,0.05,1292.65,698.031,1990.631,11
16,ARZU SAREE,0,13,0.05,1117,603.18,1720.13,11
17,ROSE SAREE,0,13,0.05,552.03,298.0962,850.0762,11
18,KERALA COTTON HAND SAREE,0,13,0.05,550,297,846.95,11
19,ARUNDATHI SAREE,0,13,0.05,604.99,326.6946,931.6346,11
20,VIRA SAREES,0,13,0.05,575.46,310.7484,886.1584,11
21,KOMBAI SAREE,0,13,0.05,1249.81,674.8974,1924.6574,11
22,PADMAVATI MESD,0,13,0.05,1007.43,544.0122,1551.3922,11
23,SAREE 1341,0,13,0.05,293.84,158.6736,452.4636,11
24,SAREE  1074,0,13,0.05,149.59,80.7786,230.3186,11
25,SAREE 1109,0,13,0.05,149.49,80.7246,230.1646,11
26,SAREE 1368,0,13,0.05,267.12,144.2448,411.3148,11
27,PADAVATI IDE,0,13,0.05,604,326.16,930.11,11
28,SAREE 1435,0,13,0.05,347.26,187.5204,534.7304,11
29,JUTE SILK IKKATE SAREE,0,13,0.05,418.74,226.1196,644.8096,11
30,SAREE 1414,0,13,0.05,128.22,69.2388,197.4088,11
31,TASAR MATKA SILK GRAND SAREES,0,13,0.05,1455.34,785.8836,2241.1736,11
32,TASAR MATKA SILK SAREES,0,13,0.05,1247.44,673.6176,1921.0076,11
33,SAREE 1432,0,13,0.05,267.12,144.2448,411.3148,11
34,KALAMKARI,0,13,0.05,636.07,343.4778,979.4978,11
35,HAND BLOCK SAREE,0,13,0.05,619.91,334.7514,954.6114,11
36,KALAMKARI,0,13,0.05,761.19,411.0426,1172.1826,11
37,SAREE 70469,0,13,0.05,790.2,426.708,1216.858,11
38,SAREE 68683,0,13,0.05,645.57,348.6078,994.1278,11
39,SAREE 45866,0,13,0.05,507.77,274.1958,781.9158,11
40,GUARENTEE PRINT SAREE,0,13,0.05,494.93,267.2622,762.1422,11
41,HALF AND HALF ,0,13,0.05,484.93,261.8622,746.7422,11
42,COTTON SAREE,0,13,0.05,563.11,304.0794,867.1394,11
43,DIAMOND PRINT,0,13,0.05,524.92,283.4568,808.3268,11
