GROUP,SUB GROUP,PROD ID,SUPPLIER,Supplier name,REFFERENCE,BARCODE,potato,BRAND,PACK ID,UMUNIT,PACKING,PRICE LEV,RETAIL,TAX,TAX RETAIL
FOOD                          ,CHOCOLATES                    ,0100025495,310287    ,JAWAD COLD STORE,1531.0009           ,3535800551607       ,LOC MARIA ROLLED WAF          ,NONE                                    ,PCS,1,75G         ,1 ,1.125,VAT 5%                                            ,1.180
FOOD                          ,CHOCOLATES                    ,0100025670,310287    ,JAWAD COLD STORE,0900.0107           ,80975403            ,TIC TAC SUMMER FESTI          ,                                        ,PCS,1,16G         ,1 ,0.15,VAT 5%                                            ,0.160
FOOD                          ,CHOCOLATES                    ,0100027009,310287    ,JAWAD COLD STORE,1677.0020           ,80807131            ,MENTOS SQUEEZ STRAWB,MENTOS                                  ,PCS,1,28'S        ,1 ,1.05,VAT 5%                                            ,1.105
FOOD                          ,CHOCOLATES                    ,0100027011,310287    ,JAWAD COLD STORE,1677.0004           ,8935001706588       ,MENTOS GUM BOTTLE SW,MENTOS                                  ,PCS,1,38'S        ,1 ,0.725,VAT 5%                                            ,0.760
FOOD                          ,CHOCOLATES                    ,0100027015,310287    ,JAWAD COLD STORE,1677.0023           ,80789222            ,MENTOS 3D FRUITY W.M          ,MENTOS                                  ,PCS,1,14'S        ,1 ,0.475,VAT 5%                                            ,0.500
FOOD                          ,CHOCOLATES                    ,0100027021,310287    ,JAWAD COLD STORE,2009.0057           ,8990800015255       ,MENTOS FRUIT  11 S            ,MENTOS                                  ,PCS,1,11'S        ,1 ,0.1,VAT 5%                                            ,0.105
FOOD                          ,CHOCOLATES                    ,0100027025,310287    ,JAWAD COLD STORE,2009.0059           ,8990800015347       ,MENTOS RAINBOW  11 S          ,MENTOS                                  ,PCS,1,11'S        ,1 ,0.1,VAT 5%                                            ,0.105
FOOD                          ,CHOCOLATES                    ,0100027325,310287    ,JAWAD COLD STORE,2009.0068           ,87108415            ,FRUITELLA  ORANGE 36          ,NONE                                    ,PCS,1,36G         ,1 ,0.15,VAT 5%                                            ,0.160
FOOD                          ,CHOCOLATES                    ,0100027326,310287    ,JAWAD COLD STORE,2009-0069           ,87108422            ,FRUITELLA  BLACKCURR          ,NONE                                    ,PCS,1,36G         ,1 ,0.15,VAT 5%                                            ,0.160
FOOD                          ,CHOCOLATES                    ,0100027327,310287    ,JAWAD COLD STORE,2009.0071           ,8990800011332       ,ALPENLIBAE CARAMEL C          ,NONE                                    ,PCS,1,105G        ,1 ,0.375,VAT 5%                                            ,0.395
FOOD                          ,CHOCOLATES                    ,0100027410,310287    ,JAWAD COLD STORE,1677.0028           ,8935001722533       ,WHITE GUM BIG BOTTLE          ,NONE                                    ,PCS,1,72PIECES    ,1 ,1.25,VAT 5%                                            ,1.315
FOOD                          ,CHOCOLATES                    ,0100027579,310287    ,JAWAD COLD STORE,0140.1112           ,6281033220908       ,AMERICANA BROWNIE CH          ,AMERICANA                               ,PCS,1,285 GM      ,1 ,1.5,VAT 5%                                            ,1.575
FOOD                          ,CHOCOLATES                    ,0100027583,310287    ,JAWAD COLD STORE,1120.0065           ,5410976585916       ,GUYLIAN X MAS TREE B          ,NONE                                    ,PCS,1,108 GM      ,1 ,2.1,VAT 5%                                            ,2.205
FOOD                          ,CHOCOLATES                    ,0100027584,310287    ,JAWAD COLD STORE,1120.0066           ,5410976584018       ,GUYLIAN X MAS TREE B          ,NONE                                    ,PCS,1,150 GM      ,1 ,2.8,VAT 5%                                            ,2.940
FOOD                          ,CHOCOLATES                    ,0100027731,310287    ,JAWAD COLD STORE,0122.0001           ,041770000029        ,ALMOND ROCCA 200G             ,NONE                                    ,PCS,1,200 GM      ,1 ,2.9,VAT 5%                                            ,3.045
FOOD                          ,CHOCOLATES                    ,0100027733,310287    ,JAWAD COLD STORE,1192.0146           ,6942836706364       ,HERSHEYS KISSES CREA          ,                                        ,PCS,1,146 GM      ,1 ,1.5,VAT 5%                                            ,1.575
FOOD                          ,CHOCOLATES                    ,0100027734,310287    ,JAWAD COLD STORE,1192.0142           ,6942836706326       ,HERSHEYS KISSES CREA          ,NONE                                    ,PCS,1,146 GM      ,1 ,1.5,VAT 5%                                            ,1.575
FOOD                          ,CHOCOLATES                    ,0100027735,310287    ,JAWAD COLD STORE,1192.0269           ,034000722297        ,I B MINT SOUR STR/MI          ,NONE                                    ,PCS,1,42 GM       ,1 ,1,VAT 5%                                            ,1.050
FOOD                          ,CHOCOLATES                    ,0100027736,310287    ,JAWAD COLD STORE,1192.0268           ,034000722273        ,I B MINT SPEARMINT 4          ,NONE                                    ,PCS,1,42 GM       ,1 ,1,VAT 5%                                            ,1.050
FOOD                          ,CHOCOLATES                    ,0100027737,310287    ,JAWAD COLD STORE,1192.0270           ,034000722310        ,I B MINT SOUR WATERM          ,NONE                                    ,PCS,1,42 GM       ,1 ,1,VAT 5%                                            ,1.050
