VEGETABLES                    ,VEGETABLES                    ,0100012208,310068    ,AL MEENA SUPERMARKET,311094              ,311094              ,POTATO BOX SMALL /KG          ,NONE                                    ,PCS,1,KG          ,1 ,1,VAT 5%                                            ,1.050
VEGETABLES                    ,VEGETABLES                    ,0100012172,369493    ,NARJIS ALI ABDULLA,310058              ,310058              ,LETTUCE HOLLAND / KG          ,NONE                                    ,PCS,1,KG          ,1 ,1.2,VAT 5%                                            ,1.260
VEGETABLES                    ,VEGETABLES                    ,0100012173,369493    ,NARJIS ALI ABDULLA,310059              ,310059              ,LOKI / KG                     ,NONE                                    ,PCS,1,KG          ,1 ,0.5,VAT 5%                                            ,0.525
VEGETABLES                    ,VEGETABLES                    ,0100012174,369493    ,NARJIS ALI ABDULLA,310060              ,310060              ,MUSHROOM / BOX                ,NONE                                    ,PCS,1,BOX         ,1 ,1,VAT 5%                                            ,1.050
VEGETABLES                    ,VEGETABLES                    ,0100012175,369493    ,NARJIS ALI ABDULLA,310061              ,310061              ,OKRA  / KG                    ,NONE                                    ,PCS,1,KG          ,1 ,0.95,VAT 5%                                            ,1.000
VEGETABLES                    ,VEGETABLES                    ,0100012176,369493    ,NARJIS ALI ABDULLA,310062              ,310062              ,ONION RED / KG                ,NONE                                    ,PCS,1,KG          ,1 ,0.3,VAT 5%                                            ,0.315
VEGETABLES                    ,VEGETABLES                    ,0100012177,369493    ,NARJIS ALI ABDULLA,310063              ,310063              ,ONION SMALL / KG              ,NONE                                    ,PCS,1,KG          ,1 ,0.95,VAT 5%                                            ,1.000
VEGETABLES                    ,VEGETABLES                    ,0100012178,369493    ,NARJIS ALI ABDULLA,310064              ,310064              ,ONION WHITE / KG              ,NONE                                    ,PCS,1,KG          ,1 ,0.4,VAT 5%                                            ,0.420
VEGETABLES                    ,VEGETABLES                    ,0100012179,369493    ,NARJIS ALI ABDULLA,310065              ,310065              ,PALAK KG                      ,NONE                                    ,PCS,1,KG          ,1 ,0.075,VAT 5%                                            ,0.080
VEGETABLES                    ,VEGETABLES                    ,0100012180,369493    ,NARJIS ALI ABDULLA,310066              ,310066              ,POTATO BIG / KG               ,NONE                                    ,PCS,1,KG          ,1 ,0.35,VAT 5%                                            ,0.370
VEGETABLES                    ,VEGETABLES                    ,0100012181,369493    ,NARJIS ALI ABDULLA,310067              ,310067              ,POTATO / BOX                  ,NONE                                    ,PCS,1,BOX         ,1 ,0.75,VAT 5%                                            ,0.790
VEGETABLES                    ,VEGETABLES                    ,0100012182,369493    ,NARJIS ALI ABDULLA,310068              ,310068              ,PUMKIN SMALL / KG             ,NONE                                    ,PCS,1,KG          ,1 ,1,VAT 5%                                            ,1.050
VEGETABLES                    ,VEGETABLES                    ,0100012183,369493    ,NARJIS ALI ABDULLA,310069              ,310069              ,SALAD LEAVES  / PCS           ,NONE                                    ,PCS,1,PCS         ,1 ,0.15,VAT 5%                                            ,0.160
VEGETABLES                    ,VEGETABLES                    ,0100012184,369493    ,NARJIS ALI ABDULLA,310070              ,310070              ,SALAD LEAVES  / PCS           ,NONE                                    ,PCS,1,PCS         ,1 ,0.25,VAT 5%                                            ,0.265
VEGETABLES                    ,VEGETABLES                    ,0100012185,369493    ,NARJIS ALI ABDULLA,310071              ,310071              ,SPRING ONION  / KG            ,NONE                                    ,PCS,1,KG          ,1 ,0.35,VAT 5%                                            ,0.370
VEGETABLES                    ,VEGETABLES                    ,0100012186,369493    ,NARJIS ALI ABDULLA,310072              ,310072              ,SWEET POTATO / KG             ,NONE                                    ,PCS,1,KG          ,1 ,0.65,VAT 5%                                            ,0.685
VEGETABLES                    ,VEGETABLES                    ,0100012187,369493    ,NARJIS ALI ABDULLA,310073              ,310073              ,TOMATO / KG                   ,NONE                                    ,PCS,1,KG          ,1 ,1,VAT 5%                                            ,1.050
VEGETABLES                    ,VEGETABLES                    ,0100012188,369493    ,NARJIS ALI ABDULLA,310074              ,310074              ,SALAD LEAVES  / PCS           ,NONE                                    ,PCS,1,PCS         ,1 ,0.35,VAT 5%                                            ,0.370
VEGETABLES                    ,VEGETABLES                    ,0100012189,369493    ,NARJIS ALI ABDULLA,310075              ,310075              ,ONION BAG                     ,NONE                                    ,PCS,1,BAG         ,1 ,0.65,VAT 5%                                            ,0.685
VEGETABLES                    ,VEGETABLES                    ,0100012190,369493    ,NARJIS ALI ABDULLA,310076              ,310076              ,SWEET TAMARIND                ,NONE                                    ,PCS,1,1PC         ,1 ,1.1,VAT 5%                                            ,1.155
VEGETABLES                    ,VEGETABLES                    ,0100012191,369493    ,NARJIS ALI ABDULLA,310077              ,310077              ,APRICOT 1 KG                  ,NONE                                    ,PCS,1,GRM         ,1 ,1.5,VAT 5%                                            ,1.575
VEGETABLES                    ,VEGETABLES                    ,0100012193,369493    ,NARJIS ALI ABDULLA,310079              ,310079              ,CHIKKOO / KG                  ,NONE                                    ,PCS,1,KG          ,1 ,1.2,VAT 5%                                            ,1.260
