Code,Name
C00001,CABLES
C00002,HERO HONDA
C00003,YAMAHA
C00004,HONDA
C00005,BAJAJ
C00006,TVS
C00007,COMMEN
C00008,SUZUKI
C00009,BRAKE SWITCH & CLUTCH SWITCH
C00010,BRAKE SHOE
C00011,ENGINE OIL
C00012,SPARK MINDA LOCKS
C00013,ACCESSORIES
C00014,TYRE & TUBE
C00015,ARROW FIBER
C00016,HANDLE GRIP COVER
C00017,INDICATOR OEM
C00018,RXZ
C00019,BRAKE YOKE
C00020,MIRROR FANCY
C00021,HANDLE GRIP RUBBER (FIRST)
C00022,SILENCER/EXHAUST
C00023,HEADLIGHTS (BULB/LED/HID)
C00024,HANDLE GRIP METAL W/RUBBER FIRST
C00025,BULLET ACCESSORIES
C00026,SIDE STAND
C00027,POWER FILTERS
C00028,MAHENDRA
C00029,UTILITY
C00030,UNO MINDA INDICATORS
C00031,STAINER
C00032,ROLON CHAINS
C00033,HANDLEBARS
C00034,INDICATOR FANCY
C00035,OTHER ACCESSORIES
C00036,FOG LAMP
C00037,HORN
C00038,FIRST GRIP
