Code,Name,HSN,GST Id,Purchase Price,Price Margin,Retail Price,Category Code
370,RUNNING CLOTH A49197,5208,13,68.57,37.0278,105.5978,301
371,RUNNING CLOTH A7453,5208,13,26.67,14.4018,41.0718,301
372,RUNNING CLOTH A49456,5208,13,26.67,14.4018,41.0718,301
373,RUNNING CLOTH A47341,5208,13,27.62,14.9148,42.5348,301
374,RUNNING CLOTH NET A4270,5208,13,20.95,11.313,32.263,301
375,ZARALOUIS SHIRT,,13,350.88,189.4752,540.3552,101
376,PATTIYALA PANTS A40817,6104,13,110.65,59.751,170.401,301
377,PATTIYALA PANTS A35251,6104,13,110.65,59.751,170.401,301
378,LEGGINGS A9492,6115,13,101.03,54.5562,155.5862,301
379,CHUDI PANTS A41386,6104,13,158.77,85.7358,244.5058,301
380,CHUDI PANTS A35251,6104,13,158.77,85.7358,244.5058,301
381,NIGHTY RK,,13,107.84,58.2336,166.0736,401
382,MENS SHIRT,,13,138.77,74.9358,213.7058,101
383,SHIRTS MENS,,13,93.81,50.6574,144.4674,101
384,LADIES TOP,,13,78.01,42.1254,120.1354,201
385,KIDS TOP ,,13,60,32.4,92.4,201
386,GIRLS BLACK SET,,13,98.81,53.3574,152.1674,201
387,GIRLS FROCK A,,13,148.94,80.4276,229.3676,201
388,GIRLS FROCK ,,13,159.21,85.9734,245.1834,201
389,GIRLS PINK TOP,,13,62.41,33.7014,96.1114,201
390,FRENCH AMERICA SHIRT,,13,326.01,176.0454,502.0554,101
391,347 GIFT MURLI SUIT 100,,13,145.49,78.5646,224.0546,301
