Code,Name,HSN,GST Id,Purchase Price,Price Margin,Retail Price,Category Code
771,FLUG CAP passion pro SWISS,123456,0,75,0,60,BAJAJ
708,PETROL STAINER rx AR,123456,0,104,0,74,YAMAHA
412,FORK OIL motul 350ml,123456,0,155,0,103,COMMEN
349,LOCK SET splendor plus MINDA,123456,0,641,0,525,SPARK MINDA LOCKS
348,LOCK SET discover100 MINDA,123456,0,492,0,406,SPARK MINDA LOCKS
905,INDICATOR STAY passion PIVO,123456,0,22,0,15,HERO HONDA
922,FLUG libero/crux/cbz/karizma BOSCH,123456,0,84,0,64,YAMAHA
1229,SIDE STAND SPRING activa SMALL PIVO,123456,0,10,0,7,HONDA
265,FOOT REST discover REAR iad,123456,0,115,0,69,BAJAJ
414,HANDLE BAR rd350,123456,0,270,0,203,YAMAHA
2104,HORN BOSCH SYMPHONY,123456,0,692,0,535,ACCESSORIES
927,AC DELCO 1ltr,123456,0,314,0,220,ENGINE OIL
953,INDICATOR BULB YELLOW,123456,0,10,0,6,COMMEN
899,BREAK CAM splendor FRONT ZODIX,123456,0,96,0,68,HERO HONDA
900,BREAK CAM splendor REAR RYDE,123456,0,80,0,50,HERO HONDA
237,BREAK CABLE chedak (with outer) moni,123456,0,52,0,33,BAJAJ
243,BREAK CABLE scooty pep FRONT NARBADA,123456,0,102,0,72,TVS
242,BREAK CABLE scooty pep REAR AVS,123456,0,172,0,121,TVS
370,GREEN BUSH activa H STAR,123456,0,36,0,27,HONDA
901,BREAK CAM rx100/crux REAR ZODIX,123456,0,90,0,63,YAMAHA
1245,BREAK SHOU SPRING pulsar/4s,123456,0,5,0,2,BAJAJ
864,SEAT COVER starcity N/M,123456,0,200,0,115,TVS
860,SEAT COVER unicorn,123456,0,200,0,130,HONDA
321,CHAIN SPROCKET passion plus O/M rolon,123456,0,613,0,503,HERO HONDA
870,TANK COVER passion,123456,0,150,0,115,HERO HONDA
843,VISOR activa N/M SAI,123456,0,399,0,280,HONDA
1290,VISOR activa O/M SAI,123456,0,370,0,275,HONDA
906,INDICATOR STAY splendor SWISS,123456,0,40,0,30,HONDA
269,FOOT REST pulsar FR ZODIX,123456,0,64,0,43,BAJAJ
709,PETROL STAINER activa/aviator/dio/plesure ar,123456,0,185,0,157,HONDA
572,BREAK LIVER boxer/4s FORCE,123456,0,41,0,28,BAJAJ
571,HL BULB passion SILVER OSRAM,123456,0,125,0,93.64,BAJAJ
346,LOCK SET activa O/M MINDA,123456,0,367,0,280,SPARK MINDA LOCKS
428,BREAK YOKE starcity iad,123456,0,107,0,64,TVS
447,CLUTCH YOKE starcity iad,123456,0,135,0,84,TVS
t0015,GREASE 100gm,123456,0,38,0,18,COMMEN
982,BRAKE SHOE 4s ASK,123456,0,150,0,82,BRAKE SHOE
250,ACC INNER chedak moni,123456,0,15,0,9,CABLES
147,CLUTCH CABLE Apache moni,123456,0,115,0,71,CABLES
192,ACC CABLE Kinetic honda NARBADA,123456,0,214,0,150,CABLES
506,CLUTCH FACE libero/crux/rx MK,123456,0,220,0,145,YAMAHA
148,CLUTCH CABLE Apache rtr moni,123456,0,115,0,70,CABLES
955,HL BULB passion OSRAM CB,123456,0,225,0,135,COMMEN
206,ACC CABLE Libero/crux LAREX,123456,0,96,0,68,CABLES
868,SEAT COVER kinetic honda,123456,0,250,0,145,HONDA
372,INDICATOR SWITCH activa MINDA,123456,0,79,0,60,HONDA
554,BREAK LIVER unicorn/cbz FORCE,123456,0,66,0,47,HONDA
552,CLUTCH LIVER unicorn PAI,123456,0,55,0,39,HONDA
570,BREAK LIVER shine iad,123456,0,66,0,40,HONDA
568,CLUTCH LIVER shine FORCE,123456,0,56,0,38,HONDA
565,CLUTCH BREAK LIVER starcity iad,123456,0,67.5,0,41,TVS
567,BREAK LIVER victor KQ,123456,0,54,0,36,TVS
566,CLUTCH LIVER victor iad,123456,0,69,0,42,TVS
529,BEARING 6201Z skf,123456,0,142,0,89,COMMEN
854,SEAT COVER activa O/M CUSSION,123456,0,220,0,160,HONDA
1400,LIVER SCREW pulsar,123456,0,10,0,8.5,BAJAJ
1397,LIVER SCREW 4s,123456,0,6,0,4.2,BAJAJ
1398,LIVER SCREW hh,123456,0,10,0,7.2,HERO HONDA
1399,LIVER SCREW caliber,123456,0,8,0,0,HERO HONDA
464,TUBE FUSE 10AMPS,123456,0,7,0,5.5,COMMEN
198,TUBE FUSE 15AMPS,123456,0,7,0,6,COMMEN
1395,YOKE ADJUSTER,123456,0,15,0,8,COMMEN
991,MIRROR pulsar RIGHT FIEM,123456,0,110,0,81,BAJAJ
948,HL BULB rx ASPA,123456,0,21,0,17,YAMAHA
292,INDICATOR splendor plus TANGO,123456,0,68,0,47,HERO HONDA
865,SEAT COVER shine,123456,0,230,0,170,HONDA
